wl,n
1.486916382,3.369856
1.490370117,3.373279
1.493824341,3.376701
1.497278931,3.380123
1.500734131,3.383543
1.504189697,3.386964
1.507645752,3.390384
1.511102173,3.393804
1.514559204,3.397223
1.518016602,3.400643
1.521474609,3.404062
1.524932983,3.407481
1.528391846,3.410901
1.531851196,3.41432
1.535311035,3.41774
1.53877124,3.42116
1.542232056,3.424581
1.545693237,3.428002
1.549155029,3.431423
1.552617188,3.434846
1.556079834,3.438269
1.559542969,3.441693
1.563006592,3.445118
1.566470581,3.448544
1.569935181,3.451971
1.573400146,3.455399
1.576865601,3.458829
1.580331543,3.46226
1.583797974,3.465693
1.587264893,3.469127
1.590732178,3.472563
1.594199951,3.476001
1.597668335,3.479441
1.601137085,3.482882
1.604606323,3.486326
1.60807605,3.489773
1.611546143,3.493221
1.615016846,3.496672
1.618488037,3.500126
1.621959595,3.503582
1.625431641,3.507042
1.628904175,3.510504
1.632377197,3.51397
1.635850708,3.517439
1.639324585,3.520911
1.642799072,3.524387
1.646274048,3.527867
1.649749268,3.531351
1.65322522,3.53484
1.656701416,3.538332
1.660178101,3.541829
1.663655518,3.545332
1.667133179,3.548839
1.670611328,3.552351
1.674090088,3.55587
1.677569092,3.559394
1.681048584,3.562924
1.684528687,3.566462
